
============================================================
  DEVICE: SW06-PoE-24P-BIURO-1-P1  [10.0.100.16]  vendor: cisco
============================================================

Timestamp : 2026-05-15 12:24:16


------------------------------------------------------------
  CMD: show log
------------------------------------------------------------

Syslog logging: enabled (0 messages dropped, 0 messages rate-limited, 0 flushes, 0 overruns, xml disabled, filtering disabled)

No Active Message Discriminator.



No Inactive Message Discriminator.


    Console logging: level emergencies, 0 messages logged, xml disabled,
                     filtering disabled
    Monitor logging: level debugging, 0 messages logged, xml disabled,
                     filtering disabled
    Buffer logging:  level debugging, 40087 messages logged, xml disabled,
                    filtering disabled
    Exception Logging: size (4096 bytes)
    Count and timestamp logging messages: disabled
    File logging: disabled
    Persistent logging: disabled

No active filter modules.

    Trap logging: level informational, 40053 message lines logged
Feb 25 21:28:41.301: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:28:44.363: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:28:45.364: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:31:09.964: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:31:11.972: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:31:14.048: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:31:16.051: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:31:19.045: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:31:22.175: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:31:25.274: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:31:26.275: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:33:50.550: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:33:52.552: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:33:54.508: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:33:56.527: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:33:59.872: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:34:03.002: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:34:06.059: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:34:07.060: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:36:31.455: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:36:33.458: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:36:35.529: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:36:37.542: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:36:40.694: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:36:41.700: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:36:47.399: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:36:48.401: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:39:11.941: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:39:13.949: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:39:16.262: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:39:18.270: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:39:21.505: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:39:24.630: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:39:27.692: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:39:28.693: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:41:53.135: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:41:55.143: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:41:57.136: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:41:59.144: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to up
Feb 25 21:42:02.300: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/12, changed state to down
Feb 25 21:42:05.546: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/12, changed state to down
